name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick,rating_bucket,salary_million,position_group,bmi
Alexandre Sarr,France,None,Washington Wizards,20,PF,C,Slashing Stretch Five,"7'1""",216,205.0,92.0,"7'5""",226.0,,1.0,"April 26, 2005","Bordeaux, France","Perth Wildcats (NBL, Australia)",81,76.0,73.0,71.0,76.0,65.0,85.0,85.0,76.0,73.0,72.0,67.0,77.0,80.0,85.0,80.0,75.0,82.0,90.0,85.0,60.0,62.0,64.0,78.0,80.0,64.0,65.0,73.0,66.0,66.0,50.0,72.0,75.0,72.0,40.0,85.0,75.0,82.0,75.0,65.0,61.0,69.0,98.0,89.0,2731.0,,,,bronze,,silver,,,,bronze,,,,,bronze,bronze,,,,,,,,,,,,bronze,,,,,,,,,,,,bronze,Great,,Wing,19.718792866941012
Alperen Sengun,Turkey,None,Houston Rockets,28,C,None,Inside The Arc Board Hunter,"6'11""",211,243.0,109.0,"7'2""",218.0,,4.0,"July 25, 2002","Giresun, Turkey",Turkey,87,81.0,86.0,84.0,69.0,69.0,80.0,95.0,76.0,52.0,64.0,86.0,69.0,88.0,90.0,80.0,83.0,82.0,70.0,80.0,87.0,87.0,89.0,74.0,95.0,69.0,79.0,62.0,48.0,84.0,72.0,66.0,69.0,63.0,49.0,62.0,69.0,85.0,65.0,81.0,77.0,84.0,98.0,89.0,2831.0,,,,,,,,gold,bronze,silver,,silver,silver,silver,bronze,,,,,gold,,,bronze,,bronze,,,,,,,,,,,bronze,silver,bronze,,,Great,,Big,24.48282832820467
Amen Thompson,United States,None,Houston Rockets,1,SG,SF,2-Way Rim Attacker,"6'7""",201,200.0,90.0,"7'0""",213.0,,2.0,"January 30, 2003","Oakland, California",Overtime Elite,87,78.0,93.0,70.0,69.0,69.0,85.0,80.0,86.0,95.0,90.0,59.0,99.0,95.0,85.0,80.0,66.0,87.0,60.0,96.0,44.0,48.0,44.0,50.0,95.0,80.0,80.0,86.0,90.0,80.0,64.0,85.0,78.0,93.0,80.0,78.0,88.0,90.0,90.0,69.0,67.0,70.0,80.0,92.0,2899.0,,,,,,,silver,,bronze,,bronze,,,,bronze,,,,bronze,,,silver,silver,,bronze,gold,gold,gold,silver,gold,gold,gold,bronze,silver,,,gold,,,gold,Great,,Guard,22.276676319893078
Andre Drummond,United States,None,Philadelphia 76ers,1,C,None,Board-Hunting Lob Threat,"6'11""",211,279.0,126.0,"7'6""",229.0,,13.0,"August 10, 1993","Mount Vernon, New York",Connecticut,78,59.0,91.0,47.0,47.0,62.0,60.0,45.0,79.0,60.0,58.0,95.0,79.0,89.0,90.0,81.0,68.0,66.0,85.0,80.0,70.0,45.0,67.0,40.0,90.0,50.0,52.0,45.0,49.0,70.0,32.0,70.0,77.0,52.0,86.0,62.0,74.0,70.0,70.0,93.0,92.0,94.0,40.0,80.0,2492.0,,,,,,bronze,,bronze,,gold,,,silver,,,silver,,,,,,,,,,,,,,bronze,,,,,,gold,silver,gold,,bronze,Good,,Big,28.301251094988885
Andre Jackson Jr.,United States,None,Milwaukee Bucks,44,SF,PG,2-Way Inside-Out Threat,"6'6""",198,209.0,94.0,"6'10""",208.0,,2.0,"November 13, 2001","Amsterdam, New York",UConn,74,66.0,77.0,68.0,81.0,70.0,70.0,30.0,80.0,87.0,87.0,50.0,84.0,90.0,80.0,80.0,57.0,70.0,40.0,90.0,43.0,44.0,44.0,37.0,87.0,63.0,69.0,69.0,74.0,64.0,41.0,68.0,53.0,80.0,46.0,55.0,80.0,81.0,80.0,58.0,60.0,56.0,65.0,78.0,2460.0,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,bronze,bronze,bronze,gold,silver,,,,,,,,,Good,,Wing,23.977145189266402
Andrew Nembhard,Canada,None,Indiana Pacers,2,SG,PG,2-Way 3-Level Shot Creator,"6'4""",193,191.0,86.0,"6'6""",198.0,,3.0,"January 16, 2000","Aurora, Canada",Gonzaga,81,81.0,95.0,97.0,77.0,79.0,70.0,70.0,74.0,76.0,88.0,46.0,71.0,85.0,69.0,80.0,56.0,80.0,39.0,60.0,44.0,52.0,47.0,54.0,75.0,77.0,80.0,79.0,74.0,80.0,71.0,76.0,68.0,88.0,82.0,37.0,85.0,84.0,85.0,44.0,35.0,52.0,70.0,84.0,2608.0,silver,,silver,silver,gold,,gold,,bronze,,,,,,,,,,,,silver,,silver,,,gold,gold,,,silver,silver,silver,,silver,,,,,,,Great,,Guard,23.087868130688072
Andrew Wiggins,Canada,None,Miami Heat,22,SF,PF,Shot-Creating 3-Level Threat,"6'7""",201,197.0,89.0,"7'0""",213.0,,11.0,"February 23, 1995","Toronto, Canada",Kansas,81,79.0,94.0,79.0,81.0,77.0,70.0,70.0,83.0,82.0,82.0,57.0,97.0,87.0,90.0,83.0,70.0,77.0,40.0,85.0,65.0,74.0,77.0,60.0,85.0,66.0,62.0,79.0,80.0,60.0,50.0,63.0,55.0,74.0,46.0,66.0,70.0,67.0,65.0,51.0,50.0,51.0,70.0,85.0,2642.0,bronze,,,bronze,bronze,bronze,,,silver,,silver,,,,silver,,,bronze,,,,,,,,bronze,,bronze,,,silver,silver,,,,,,,,silver,Great,,Wing,22.02915769411649
Anfernee Simons,United States,None,Boston Celtics,1,SG,PG,Walking Bucket,"6'3""",191,181.0,81.0,"6'9""",206.0,,7.0,"June 8, 1999","Altamonte Springs, Florida",IMG Academy (FL),81,85.0,84.0,95.0,82.0,91.0,70.0,90.0,81.0,86.0,89.0,41.0,90.0,92.0,90.0,80.0,68.0,84.0,40.0,89.0,49.0,49.0,49.0,87.0,95.0,79.0,78.0,86.0,79.0,79.0,71.0,46.0,49.0,59.0,41.0,30.0,50.0,55.0,40.0,38.0,31.0,45.0,60.0,84.0,2559.0,bronze,,bronze,silver,bronze,,,,silver,,silver,,,,silver,,bronze,bronze,,,,bronze,,,bronze,,,,,,,,,,,,,,silver,,Great,,Guard,22.20333872426743
Anthony Black,United States,None,Orlando Magic,0,PG,SG,Defensive Menace,"6'7""",201,200.0,90.0,"6'8""",203.0,,2.0,"January 20, 2004","Las Colinas, Texas",Arkansas,80,73.0,82.0,71.0,79.0,75.0,80.0,50.0,79.0,75.0,85.0,58.0,75.0,92.0,90.0,80.0,62.0,85.0,35.0,75.0,48.0,52.0,52.0,64.0,85.0,77.0,80.0,86.0,74.0,77.0,69.0,75.0,63.0,84.0,66.0,63.0,84.0,82.0,80.0,46.0,40.0,52.0,95.0,84.0,2667.0,,,,bronze,,,bronze,,,,,,,,,,,,,,,,,,,silver,,silver,bronze,,silver,bronze,,,,,,,,,Great,,Guard,22.276676319893078
Anthony Davis,United States,None,Dallas Mavericks,3,C,PF,2-Way Inside-The-Arc Menace,"6'10""",208,253.0,114.0,"7'6""",229.0,,13.0,"March 11, 1993","Chicago, Illinois",Kentucky,93,84.0,88.0,88.0,71.0,79.0,90.0,90.0,87.0,79.0,78.0,92.0,86.0,97.0,98.0,78.0,88.0,82.0,90.0,85.0,85.0,89.0,85.0,95.0,95.0,68.0,60.0,75.0,67.0,72.0,65.0,85.0,95.0,80.0,53.0,87.0,93.0,90.0,95.0,79.0,67.0,91.0,95.0,95.0,3100.0,,,,bronze,,gold,bronze,silver,gold,gold,gold,silver,gold,silver,silver,silver,,,,silver,,,gold,,,,,gold,bronze,,,,gold,,gold,silver,silver,silver,,gold,Elite,,Big,26.349852071005916
Anthony Edwards,United States,None,Minnesota Timberwolves,5,SG,SF,2-Way Inside-Out ISO Creator,"6'4""",193,225.0,101.0,"6'9""",206.0,,5.0,"August 5, 2001","Atlanta, Georgia",Georgia,95,87.0,87.0,77.0,87.0,84.0,90.0,98.0,87.0,91.0,90.0,62.0,97.0,97.0,90.0,83.0,78.0,96.0,50.0,97.0,60.0,62.0,62.0,98.0,98.0,80.0,79.0,86.0,85.0,80.0,70.0,71.0,59.0,87.0,43.0,56.0,84.0,84.0,85.0,50.0,36.0,63.0,85.0,95.0,2933.0,gold,bronze,,gold,gold,gold,silver,,gold,,gold,,,,hof,,silver,gold,silver,,silver,silver,gold,silver,bronze,silver,,silver,,bronze,silver,bronze,,silver,,,,,silver,gold,Elite,,Guard,27.114821874412737
Antonio Reeves,United States,None,Charlotte Hornets,12,SG,SF,Catch & Shoot Ace,"6'3""",191,195.0,88.0,"6'7""",201.0,,1.0,"November 20, 2000","Chicago, Illinois",Kentucky,73,81.0,89.0,75.0,86.0,84.0,75.0,75.0,73.0,83.0,78.0,39.0,75.0,85.0,70.0,80.0,52.0,80.0,30.0,70.0,39.0,36.0,39.0,40.0,80.0,61.0,62.0,70.0,73.0,62.0,36.0,45.0,32.0,60.0,42.0,40.0,52.0,48.0,40.0,41.0,40.0,41.0,70.0,77.0,2253.0,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Guard,24.12214577451276
Ariel Hukporti,Germany,Togo,New York Knicks,55,C,PF,Rim Protector,"7'0""",213,250.0,113.0,"7'3""",221.0,,1.0,"April 12, 2002","Stralsund, Germany","Riesen Ludwigsburg (BBL, Germany)",70,56.0,63.0,57.0,47.0,61.0,75.0,35.0,68.0,47.0,37.0,68.0,68.0,80.0,95.0,82.0,61.0,59.0,75.0,75.0,54.0,50.0,52.0,50.0,75.0,41.0,43.0,45.0,40.0,44.0,34.0,50.0,60.0,37.0,25.0,89.0,57.0,40.0,45.0,68.0,62.0,73.0,80.0,71.0,2150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,silver,,,,Good,,Big,24.906874738257404
Ausar Thompson,United States,None,Detroit Pistons,9,SF,PF,2-Way Rim Attacker,"6'6""",198,205.0,92.0,"7'0""",213.0,,2.0,"January 30, 2003","Oakland, California",Overtime Elite,81,62.0,85.0,63.0,56.0,60.0,40.0,65.0,86.0,94.0,90.0,50.0,98.0,95.0,95.0,80.0,64.0,84.0,60.0,92.0,45.0,46.0,45.0,56.0,85.0,76.0,75.0,83.0,88.0,75.0,58.0,84.0,79.0,86.0,96.0,67.0,88.0,86.0,85.0,67.0,68.0,65.0,65.0,84.0,2732.0,,,,,,silver,,,,,,,,,bronze,,,,,,,,silver,,,silver,gold,gold,silver,gold,bronze,gold,,,,,silver,,,gold,Great,,Wing,23.46699316396286
Austin Reaves,United States,None,Los Angeles Lakers,15,SG,PG,Shot-Creating 3-Level Threat,"6'5""",196,197.0,89.0,"6'6""",198.0,,4.0,"May 29, 1998","Newark, Arkansas",Oklahoma,85,89.0,92.0,82.0,84.0,87.0,95.0,95.0,77.0,83.0,83.0,44.0,81.0,85.0,80.0,80.0,57.0,87.0,25.0,70.0,31.0,32.0,32.0,95.0,85.0,77.0,78.0,79.0,78.0,79.0,72.0,58.0,35.0,73.0,46.0,45.0,73.0,70.0,65.0,46.0,39.0,53.0,95.0,87.0,2595.0,gold,bronze,,silver,gold,,gold,,silver,,,,,,,,bronze,gold,silver,,bronze,,silver,,,,,,,,,,,,,,,,silver,,Great,,Guard,23.167430237401085
Ayo Dosunmu,United States,None,Chicago Bulls,11,SG,PG,Shot-Creating 3-Level Threat,"6'5""",196,200.0,90.0,"6'10""",208.0,,4.0,"January 17, 2000","Compton, California",Illinois,78,82.0,87.0,91.0,76.0,79.0,80.0,80.0,74.0,76.0,78.0,52.0,75.0,85.0,75.0,80.0,56.0,86.0,25.0,75.0,35.0,50.0,42.0,50.0,87.0,75.0,72.0,79.0,73.0,79.0,70.0,57.0,38.0,69.0,42.0,51.0,68.0,69.0,65.0,43.0,35.0,50.0,60.0,79.0,2463.0,bronze,,,,bronze,,bronze,,,,,,,,,,,,bronze,,,,silver,,,,,,,,,,,,,,,,,,Good,,Guard,23.427738442315704
Bam Adebayo,United States,None,Miami Heat,13,C,None,2-Way 3-Level Scoring Threat,"6'9""",206,255.0,115.0,"7'3""",221.0,,8.0,"July 18, 1997","Newark, New Jersey",Kentucky,88,82.0,88.0,88.0,78.0,76.0,80.0,80.0,85.0,74.0,84.0,85.0,83.0,92.0,90.0,90.0,80.0,82.0,85.0,80.0,80.0,82.0,82.0,60.0,90.0,70.0,72.0,69.0,66.0,74.0,70.0,81.0,94.0,88.0,53.0,60.0,94.0,80.0,95.0,73.0,63.0,83.0,75.0,90.0,2955.0,,,,,,silver,bronze,silver,silver,silver,bronze,silver,silver,silver,,silver,,bronze,silver,gold,,,silver,,bronze,,,silver,gold,,,bronze,gold,,gold,silver,bronze,silver,,gold,Great,,Big,27.099632387595438
Baylor Scheierman,United States,None,Boston Celtics,55,SG,SF,Perimeter Shot Creator,"6'7""",201,205.0,92.0,"6'11""",211.0,,1.0,"September 26, 2000","Hastings, Nebraska",Creighton,71,75.0,73.0,80.0,80.0,85.0,70.0,60.0,73.0,86.0,64.0,54.0,54.0,90.0,85.0,80.0,49.0,71.0,40.0,55.0,30.0,48.0,40.0,44.0,66.0,65.0,70.0,71.0,75.0,69.0,42.0,49.0,47.0,56.0,59.0,40.0,57.0,47.0,40.0,54.0,53.0,55.0,80.0,79.0,2295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Guard,22.771713571446256
Ben Sheppard,United States,None,Indiana Pacers,26,SG,SF,Perimeter Shot Creator,"6'6""",198,190.0,86.0,"6'8""",203.0,,2.0,"July 16, 2001","Atlanta, Georgia",Belmont,74,78.0,83.0,78.0,78.0,91.0,75.0,60.0,79.0,84.0,84.0,54.0,75.0,85.0,90.0,80.0,56.0,78.0,35.0,60.0,48.0,49.0,47.0,49.0,80.0,65.0,70.0,73.0,74.0,70.0,36.0,65.0,54.0,79.0,43.0,50.0,78.0,75.0,75.0,50.0,45.0,55.0,50.0,80.0,2470.0,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,bronze,,,,,,,,,,,Good,,Guard,21.93653708805224
Bennedict Mathurin,Canada,None,Indiana Pacers,0,SF,SF,Inside-Out Shot Creator,"6'5""",196,210.0,95.0,"6'9""",206.0,,3.0,"June 19, 2002","Montreal, Canada",Arizona,81,77.0,93.0,70.0,77.0,83.0,50.0,90.0,80.0,84.0,84.0,54.0,82.0,92.0,85.0,80.0,66.0,78.0,35.0,80.0,55.0,58.0,55.0,75.0,90.0,71.0,75.0,79.0,81.0,82.0,36.0,54.0,42.0,69.0,37.0,51.0,65.0,62.0,50.0,56.0,47.0,65.0,70.0,84.0,2545.0,silver,,,silver,silver,,silver,,bronze,,gold,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,bronze,,Great,,Wing,24.729279466888798
Bilal Coulibaly,France,None,Washington Wizards,0,SG,SF,Defensive Menace,"6'8""",203,195.0,88.0,"7'2""",218.0,,2.0,"July 26, 2004","Saint-Cloud, France",Metropolitans 92 (France),80,75.0,72.0,51.0,75.0,75.0,95.0,80.0,81.0,82.0,85.0,63.0,85.0,92.0,80.0,80.0,64.0,84.0,60.0,85.0,50.0,50.0,50.0,50.0,80.0,68.0,69.0,72.0,64.0,72.0,61.0,70.0,67.0,80.0,53.0,58.0,78.0,78.0,75.0,50.0,47.0,52.0,95.0,87.0,2632.0,,,,,,,bronze,,bronze,,bronze,,,,,,,bronze,,,,,,,bronze,silver,silver,,,bronze,bronze,,,silver,,,,,,bronze,Great,,Guard,21.35455847023709
Blake Wesley,United States,None,Portland Trail Blazers,14,PG,SG,Rim Attacker,"6'3""",191,185.0,83.0,"6'9""",206.0,,3.0,"March 16, 2003","South Bend, Indiana",Notre Dame,72,66.0,69.0,60.0,71.0,64.0,70.0,60.0,75.0,78.0,78.0,40.0,84.0,92.0,75.0,80.0,63.0,74.0,40.0,86.0,54.0,57.0,50.0,59.0,80.0,73.0,69.0,83.0,77.0,68.0,70.0,60.0,49.0,71.0,86.0,40.0,60.0,63.0,50.0,41.0,39.0,42.0,80.0,80.0,2448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Guard,22.75156931005181
Bobby Portis,United States,None,Milwaukee Bucks,9,PF,C,3-Level Scoring Threat,"6'10""",208,250.0,113.0,"7'2""",218.0,,10.0,"February 10, 1995","Little Rock, Arkansas",Arkansas,81,84.0,93.0,79.0,80.0,82.0,75.0,95.0,76.0,65.0,64.0,83.0,64.0,85.0,90.0,84.0,78.0,74.0,75.0,70.0,83.0,83.0,83.0,74.0,85.0,53.0,55.0,52.0,59.0,52.0,47.0,61.0,78.0,40.0,41.0,60.0,75.0,65.0,65.0,75.0,63.0,87.0,80.0,83.0,2668.0,,,,bronze,,,,bronze,,bronze,,bronze,bronze,bronze,,bronze,,,,,,,,,,,,,,,,,,,,gold,bronze,silver,,,Great,,Wing,26.118713017751478
Bobi Klintman,Sweden,None,Detroit Pistons,34,PF,SF,Promising Prospect,"6'10""",208,225.0,101.0,"7'0""",213.0,,1.0,"March 6, 2003","Malmö, Sweden","Cairns Taipans (NBL, Australia)",69,67.0,68.0,70.0,74.0,80.0,60.0,50.0,74.0,75.0,68.0,55.0,72.0,90.0,75.0,80.0,61.0,69.0,65.0,75.0,49.0,50.0,50.0,47.0,80.0,63.0,68.0,70.0,68.0,68.0,43.0,60.0,57.0,64.0,62.0,57.0,60.0,62.0,55.0,46.0,41.0,51.0,60.0,79.0,2367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,Wing,23.345044378698223
